Name,Stadt,Type,Land,Kontakt,Einwohner,Bürgermeister,Partei,Kontaktdaten,,,,,,,
STV Aalen,Aalen,Stadt,Baden-Württemberg,N,67621,Frederick Brütting,SPD,auslaenderamt@aalen.de,,SPD,,,,,
ABH Bad Krozingen,Bad Krozingen,Stadt,Baden-Württemberg,N,21755,Volker Kieber,CDU/CSU,auslaenderbehoerde@bad-krozingen.de,,CDU/CSU,,,,,
STV Backnang,Backnang,Stadt,Baden-Württemberg,N,38818,Maximilian Friedrich,FW,stadt@backnang.de,,FW,,,,,
STV Böblingen,Böblingen,Stadt,Baden-Württemberg,N,51483,Stefan Belz,Grüne,stadt@boeblingen.de,,Grüne,,,,,
STV Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,96182,Matthias Klopfer,SPD,auslaenderamt@esslingen.de,,Parteilos,,,,,
STV Fellbach,Fellbach,Stadt,Baden-Württemberg,N,47120,Gabriele Zull,Parteilos,auslaenderamt@fellbach.de,,FDP,,,,,
BGM Geislingen,Geislingen,Stadt,Baden-Württemberg,N,27791,Ignazio Ceffalia,Parteilos,post@zollernalbkreis.de,,,,,,,
STV Göppingen,Göppingen,Stadt,Baden-Württemberg,N,58937,Alexander Maier,Grüne,auslaenderbehoerde@goeppingen.de,,#N/A,,,,,
STV Heidenheim,Heidenheim an der Brenz,Stadt,Baden-Württemberg,N,50618,Michael Salomo,SPD,auslaenderwesen@heidenheim.de,,Freisinger Mitte,,,,,
STV Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,131986,Harry Mergel,SPD,abh@stadt-heilbronn.de,,BBV,,,,,
BGM Kirchheim unter Teck,Kirchheim unter Teck,Stadt,Baden-Württemberg,N,42299,Pascal Bader,Parteilos,auslaender@kirchheim-teck.de,,UBV,,,,,
STV Kornwestheim,Kornwestheim,Stadt,Baden-Württemberg,N,33980,Nico Lauxmann,CDU/CSU,auslaenderamt@kornwestheim.de,,WGK,,,,,
STV Leonberg,Leonberg,Stadt,Baden-Württemberg,N,49480,Tobias Degode,Parteilos,,,Die Linke,,,,,
STV Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,92858,Matthias Knecht,Parteilos,auslaenderbehoerde@ludwigsburg.de,,FWG,,,,,
STV Nürtingen,Nürtingen,Stadt,Baden-Württemberg,N,40773,Johannes Fridrich,Parteilos,awes.stadt@nuertingen.de,,,,,,,
STV Schwäbisch Gmünd,Schwäbisch Gmünd,Stadt,Baden-Württemberg,N,64416,Richard Arnold,CDU/CSU,stadtverwaltung@schwaebisch-gmuend.de,,,,,,,
STV Schwäbisch Hall,Schwäbisch Hall,Stadt,Baden-Württemberg,N,42598,Daniel Bullinger,FDP,claudia.kuetterer@schwaebischhall.de,,,,,,,
STV Sindelfingen,Sindelfingen,Stadt,Baden-Württemberg,N,61422,Markus Kleemann,CDU/CSU,stadt@sindelfingen.de,,,,,,,
STV Ulm,Ulm,Stadt,Baden-Württemberg,N,129882,Martin Ansbacher,SPD,auslaenderwesen@ulm.de,,,,,,,
LHS Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,
STV Waiblingen,Waiblingen,Stadt,Baden-Württemberg,N,57313,Sebastian Wolf,CDU/CSU,buergerbuero@waiblingen.de,,,,,,,
STV Herrenberg,Herrenberg,Stadt,Baden-Württemberg,N,34192,Nico Reith,Parteilos,rga@herrenberg.de,,,,,,,
BGM Stutensee,Stutensee,Stadt,Baden-Württemberg,N,25259,Petra Becker,Parteilos,auslaenderbehoerde@stutensee.de,,,,,,,
LRA Böblingen,Böblingen,Stadt,Baden-Württemberg,N,51483,Stefan Belz,Grüne,stadt@boeblingen.de,,,,,,,
LRA Esslingen,Esslingen am Neckar,Stadt,Baden-Württemberg,N,96182,Matthias Klopfer,SPD,auslaenderamt@esslingen.de,,,,,,,
LRA Göppingen,Göppingen,Stadt,Baden-Württemberg,N,58937,Alexander Maier,Grüne,auslaenderbehoerde@goeppingen.de,,,,,,,
LRA Heidenheim,Heidenheim an der Brenz,Stadt,Baden-Württemberg,N,50618,Michael Salomo,SPD,auslaenderwesen@heidenheim.de,,,,,,,
LRA Heilbronn,Heilbronn,Stadt,Baden-Württemberg,N,131986,Harry Mergel,SPD,abh@stadt-heilbronn.de,,,,,,,
LRA Ludwigsburg,Ludwigsburg,Stadt,Baden-Württemberg,N,92858,Matthias Knecht,Parteilos,auslaenderbehoerde@ludwigsburg.de,,,,,,,
RP Stuttgart,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,
LEA Ellwangen,Ellwangen,Stadt,Baden-Württemberg,N,25001,Michael Dambacher,CDU/CSU,info@ellwangen.de,,,,,,,
RP Stuttgart - LZF,Stuttgart,Stadt,Baden-Württemberg,N,612663,Frank Nopper,CDU/CSU,,,,,,,,
RP Tübingen (15.2 ABH),Tübingen,Stadt,Baden-Württemberg,N,92322,Boris Palmer,Parteilos,manuela.noll@tuebingen.de,,,,,,,
LRA Schwäbisch Hall,Schwäbisch Hall,Stadt,Baden-Württemberg,N,42598,Daniel Bullinger,FDP,claudia.kuetterer@schwaebischhall.de,,,,,,,
STV Bruchsal,Bruchsal,Stadt,Baden-Württemberg,N,47784,Sven Weigt,CDU/CSU,ordnungsamt@bruchsal.de,,,,,,,
STV Ettlingen,Ettlingen,Stadt,Baden-Württemberg,N,38578,Johannes Arnold,Parteilos,ordnungsamt@ettlingen.de,,,,,,,
STV Heidelberg,Heidelberg,Stadt,Baden-Württemberg,N,155756,Eckart Würzner,Parteilos,buergeramt@heidelberg.de,,,,,,,
STV Karlsruhe,Karlsruhe,Stadt,Baden-Württemberg,N,309050,Frank Mentrup,SPD,auslaenderbehoerde@oa.karlsruhe.de,,,,,,,
Stadt Mannheim,Mannheim,Stadt,Baden-Württemberg,N,318035,Christian Specht,CDU/CSU,auslaenderbehoerde@mannheim.de,,,,,,,
STV Pforzheim,Pforzheim,Stadt,Baden-Württemberg,N,134912,Peter Boch,CDU/CSU,auslaenderwesen@stadt-pforzheim.de,,,,,,,
STV Weinheim,Weinheim,Stadt,Baden-Württemberg,N,45852,vakant,,auslaenderbehoerde@weinheim.de,,,,,,,
STV Waldkirch,Waldkirch,Stadt,Baden-Württemberg,N,21510,Michael Schmieder,Parteilos,postkorb@stadt-waldkirch.de,,,,,,,
LRA Karlsruhe,Karlsruhe,Stadt,Baden-Württemberg,N,309050,Frank Mentrup,SPD,auslaenderbehoerde@oa.karlsruhe.de,,,,,,,
STV Achern,Achern,Stadt,Baden-Württemberg,N,26733,Manuel Tabor,CDU/CSU,oeffentliche-ordnung@achern.de,,,,,,,
STV Baden-Baden,Baden-Baden,Stadt,Baden-Württemberg,N,56881,Thomas Jung,Parteilos,abh@landkreis-verden.de,,,,,,,
STV Freiburg,Freiburg,Stadt,Baden-Württemberg,N,237460,Martin Horn,Parteilos,auslaenderbehoerde@stadt.freiburg.de,,,,,,,
STV Konstanz,Konstanz,Stadt,Baden-Württemberg,N,86919,Ulrich Burchardt,CDU/CSU,auslaenderamt@stadt.konstanz.de,,,,,,,
STV Lahr,Lahr,Stadt,Baden-Württemberg,N,50775,Markus Ibert,Parteilos,auslaenderbehoerde@bitburg-pruem.de,,,,,,,
STV Lörrach,Lörrach,Stadt,Baden-Württemberg,N,51349,Jörg Lutz,Parteilos,auslaenderbehoerde@loerrach.de,,,,,,,
BGM Offenburg,Offenburg,Stadt,Baden-Württemberg,N,62993,Marco Steffens,CDU/CSU,auslaenderbuero@offenburg.de,,,,,,,
STV Rastatt,Rastatt,Stadt,Baden-Württemberg,N,50741,Monika Müller,SPD,auslaenderwesen@rastatt.de,,,,,,,
STV Singen,Singen,Stadt,Baden-Württemberg,N,47621,Bernd Häusler,CDU/CSU,auslaenderbehoerde@singen.de,,,,,,,
STV Villingen-Schwenningen,Villingen-Schwenningen,Stadt,Baden-Württemberg,N,89756,Jürgen Roth,CDU/CSU,stadt@villingen-schwenningen.de,,,,,,,
LRA Emmendingen,Emmendingen,Stadt,Baden-Württemberg,N,29502,Stefan Schlatterer,CDU/CSU,auslaenderamt@emmendingen.de,,,,,,,
LRA Breisgau/Hochschwarzwald,Breisgau-Hochschwarzwald,Stadt,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderwesen@lkbh.de,,,,,,,
LRA Konstanz,Konstanz,Stadt,Baden-Württemberg,N,86919,Ulrich Burchardt,CDU/CSU,auslaenderamt@stadt.konstanz.de,,,,,,,
STV Leimen,Leimen,Stadt,Baden-Württemberg,N,26873,John Ehret,Parteilos,kv@lksuedwestpfalz.de,,,,,,,
LRA Lörrach,Lörrach,Stadt,Baden-Württemberg,N,51349,Jörg Lutz,Parteilos,auslaenderbehoerde@loerrach.de,,,,,,,
RP Tübingen (15.1 ABH),Tübingen,Stadt,Baden-Württemberg,N,92322,Boris Palmer,Parteilos,manuela.noll@tuebingen.de,,,,,,,
RP Freiburg (Höhere Ausländerbehörde),Freiburg,Stadt,Baden-Württemberg,N,237460,Martin Horn,Parteilos,auslaenderbehoerde@stadt.freiburg.de,,,,,,,
RP Freiburg (LEA Ausländerbehörde),Freiburg im Breisgau,Stadt,Baden-Württemberg,N,237460,Martin Horn,Parteilos,auslaenderbehoerde@stadt.freiburg.de,,,,,,,
LRA Rastatt,Rastatt,Stadt,Baden-Württemberg,N,50741,Monika Müller,SPD,auslaenderwesen@rastatt.de,,,,,,,
RP Karlsruhe,Karlsruhe,Stadt,Baden-Württemberg,N,309050,Frank Mentrup,SPD,auslaenderbehoerde@oa.karlsruhe.de,,,,,,,
EAE Karlsruhe,Karlsruhe,Stadt,Baden-Württemberg,N,309050,Frank Mentrup,SPD,auslaenderbehoerde@oa.karlsruhe.de,,,,,,,
RP Karlsruhe - LZF,Karlsruhe,Stadt,Baden-Württemberg,N,309050,Frank Mentrup,SPD,auslaenderbehoerde@oa.karlsruhe.de,,,,,,,
LRA Waldshut,Waldshut,Stadt,Baden-Württemberg,N,25019,Martin Gruner,Parteilos,agruoner@waldshut-tiengen.de,,,,,,,
Stadt Leutkirch im Allgäu,Leutkirch im Allgäu,Stadt,Baden-Württemberg,N,24226,#N/A,#N/A,info@leutkirch.de,,,,,,,
STV Biberach a.d.Riß,Biberach a.d.Ri,Stadt,Baden-Württemberg,N,#N/A,#N/A,#N/A,poststelle@lra.neu-ulm.de,,,,,,,
STV Albstadt,Albstadt,Stadt,Baden-Württemberg,N,46950,Roland Tralmer,CDU/CSU,stadtverwaltung@albstadt.de,,,,,,,
STV Friedrichshafen,Friedrichshafen,Stadt,Baden-Württemberg,N,62796,Simon Blümcke,Parteilos,auslaenderamt@friedrichshafen.de,,,,,,,
STV Ravensburg,Ravensburg,Stadt,Baden-Württemberg,N,50628,Daniel Rapp,CDU/CSU,abh@ravensburg.de,,,,,,,
STV Reutlingen,Reutlingen,Stadt,Baden-Württemberg,N,118852,Thomas Keck,SPD,stadt@reutlingen.de,,,,,,,
STV Tübingen,Tübingen,Stadt,Baden-Württemberg,N,92322,Boris Palmer,Parteilos,manuela.noll@tuebingen.de,,,,,,,
STV Tuttlingen,Tuttlingen,Stadt,Baden-Württemberg,N,37109,Michael Beck,CDU/CSU,auslaenderamt@tuttlingen.de,,,,,,,
LRA Biberach,Biberach,Stadt,Baden-Württemberg,N,34576,Norbert Zeidler,Parteilos,auslaenderwesen@ortenaukreis.de,,,,,,,
LRA Calw,Calw,Stadt,Baden-Württemberg,N,25001,Florian Kling,SPD,auslaenderamt@calw.de,,,,,,,
STV Öhringen,Öhringen,Stadt,Baden-Württemberg,N,25673,Patrick Wegener,SPD,info@oehringen.de,,,,,,,
LRA Freudenstadt,Freudenstadt,Stadt,Baden-Württemberg,N,24464,Adrian Sonder,CDU/CSU,auslaenderbehoerde@freudenstadt.de,,,,,,,
STV Balingen,Balingen,Stadt,Baden-Württemberg,N,35623,Dirk Abel,CDU/CSU,post@zollernalbkreis.de,,,,,,,
STV Ehingen,Ehingen,Stadt,Baden-Württemberg,N,27764,Alexander Baumann,CDU/CSU,auslaenderamt@lra-donau-ries.de,,,,,,,
STV Calw,Calw,Stadt,Baden-Württemberg,N,25001,Florian Kling,SPD,auslaenderamt@calw.de,,,,,,,
